6.827520000000001232e+01,6.847680000000001144e+01,6.867839999999999634e+01,6.888000000000002387e+01,6.908159999999999457e+01,6.928319999999999368e+01,6.948479999999999279e+01,6.968640000000000612e+01
1.714943999999999562e+02,1.721056000000000097e+02,1.727168000000000347e+02,1.733279999999999745e+02,1.739392000000000564e+02,1.745504000000000246e+02,1.751616000000000497e+02,1.757727999999999895e+02
2.747136000000000422e+02,2.757343999999999937e+02,2.767552000000000021e+02,2.777759999999999536e+02,2.787968000000000188e+02,2.798175999999999704e+02,2.808383999999999219e+02,2.818592000000000439e+02
3.779328000000000998e+02,3.793631999999999493e+02,3.807936000000000263e+02,3.822240000000000464e+02,3.836544000000000096e+02,3.850847999999998592e+02,3.865152000000001635e+02,3.879456000000000131e+02
4.811520000000001573e+02,4.829919999999999618e+02,4.848319999999999936e+02,4.866719999999999686e+02,4.885119999999998868e+02,4.903520000000000891e+02,4.921920000000000073e+02,4.940320000000000960e+02
5.843711999999998170e+02,5.866208000000001448e+02,5.888704000000001315e+02,5.911200000000000045e+02,5.933695999999999913e+02,5.956191999999999780e+02,5.978687999999998510e+02,6.001184000000001788e+02
6.875904000000000451e+02,6.902495999999998730e+02,6.929088000000000420e+02,6.955679999999999836e+02,6.982271999999998116e+02,7.008863999999998668e+02,7.035455999999999221e+02,7.062048000000000911e+02
7.908095999999999322e+02,7.938784000000000560e+02,7.969471999999999525e+02,8.000159999999999627e+02,8.030847999999999729e+02,8.061536000000000968e+02,8.092223999999999933e+02,8.122912000000000035e+02
8.940288000000001603e+02,8.975071999999996706e+02,9.009855999999998630e+02,9.044640000000001692e+02,9.079424000000002479e+02,9.114207999999999856e+02,9.148991999999997233e+02,9.183776000000002568e+02
9.972479999999998199e+02,1.001136000000000081e+03,1.005024000000000115e+03,1.008912000000000035e+03,1.012800000000000068e+03,1.016687999999999874e+03,1.020576000000000022e+03,1.024464000000000169e+03
1.100467200000000048e+03,1.104764799999999923e+03,1.109062400000000025e+03,1.113359999999999900e+03,1.117657599999999547e+03,1.121955200000000332e+03,1.126252799999999979e+03,1.130550399999999854e+03
1.203686400000000276e+03,1.208393599999999878e+03,1.213100799999999708e+03,1.217808000000000220e+03,1.222515199999999822e+03,1.227222400000000107e+03,1.231929599999999709e+03,1.236636799999999994e+03
1.306905599999999595e+03,1.312022400000000289e+03,1.317139200000000528e+03,1.322255999999999631e+03,1.327372800000000097e+03,1.332489599999999882e+03,1.337606400000000122e+03,1.342723200000000134e+03
1.410124800000000050e+03,1.415651200000000017e+03,1.421177600000000211e+03,1.426703999999999951e+03,1.432230400000000373e+03,1.437756799999999885e+03,1.443283199999999852e+03,1.448809599999999818e+03
1.513343999999999824e+03,1.519279999999999973e+03,1.525216000000000349e+03,1.531152000000000044e+03,1.537088000000000420e+03,1.543024000000000115e+03,1.548960000000000491e+03,1.554896000000000186e+03
1.616563200000000506e+03,1.622908799999999474e+03,1.629254400000000032e+03,1.635600000000000136e+03,1.641945599999999104e+03,1.648291200000000117e+03,1.654636800000000221e+03,1.660982400000000098e+03
1.719782400000000280e+03,1.726537599999999884e+03,1.733292799999999716e+03,1.740047999999999774e+03,1.746803200000000061e+03,1.753558399999999892e+03,1.760313599999999951e+03,1.767068799999999783e+03
1.823001600000000053e+03,1.830166400000000067e+03,1.837331200000000081e+03,1.844495999999999867e+03,1.851660800000000336e+03,1.858825600000000122e+03,1.865990400000000591e+03,1.873155199999999923e+03
1.926220800000000054e+03,1.933795199999999795e+03,1.941369599999999991e+03,1.948943999999999960e+03,1.956518399999999701e+03,1.964092800000000125e+03,1.971667199999999639e+03,1.979241600000000517e+03
2.029440000000000509e+03,2.037424000000000206e+03,2.045408000000000357e+03,2.053391999999999825e+03,2.061376000000000658e+03,2.069360000000000127e+03,2.077343999999999596e+03,2.085327999999999975e+03
